Index,ID,x,y,Region,Source,Species,Presence
204,CBNA_412832,5.93174,46.2595,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
205,CBNA_412846,5.93545,46.2583,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
206,CBNA_412851,5.94734,46.2663,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
207,CBNA_412885,5.86486,46.1442,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
208,CBNA_412887,5.86187,46.1473,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
209,CBNA_412889,5.86044,46.1501,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
210,CBNA_412892,5.86192,46.1452,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
211,CBNA_412902,5.9033,46.2221,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
212,CBNA_412903,5.90546,46.2238,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
213,CBNA_412906,5.9075,46.2257,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
214,CBNA_412907,5.90842,46.2266,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
215,CBNA_412914,5.91537,46.2333,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
216,CBNA_412917,5.91915,46.2365,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
217,CBNA_412925,5.92,46.2385,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
218,CBNA_412927,5.91932,46.2354,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
219,CBNA_412929,5.9226,46.2336,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
220,CBNA_412939,5.90867,46.2256,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
221,CBNA_412981,5.99014,46.3025,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
222,CBNA_413033,5.92652,46.2494,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
223,CBNA_413035,5.9272,46.2504,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
224,CBNA_413038,5.92937,46.252,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
225,CBNA_413060,5.93943,46.2493,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
226,CBNA_413085,6.01504,46.3547,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
227,CBNA_413114,5.94277,46.2512,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
228,CBNA_413130,5.9399,46.2542,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
